
#-----------------------------------------------------------------------------
# Date d'extraction : 09/05/2025
#-----------------------------------------------------------------------------
# Producteur : MF-DCSC
# Experience : TRACC-2023
# Modele     : MEAN de l’ensemble EXPLORE2  / ADAMONT / RCP8.5
# Niveau de réchauffement régional (RWL) :2.0°C
#-----------------------------------------------------------------------------
# Indices : 
#    RRq99 : Valeur du 99e centile des précipitations quotidiennes
#     Moyenne temporelle sur la période autour du niveau de réchauffement 
#     Valeur absolue
#-----------------------------------------------------------------------------
# Format des enregistrements 
# Point;Latitude;Longitude;RWL;RRq99;
#-----------------------------------------------------------------------------                     

Point;Latitude;Longitude;RWL;Value
12872;47.822;-4.6702;RWL-20;nan
13015;47.8937;-4.6797;RWL-20;nan
13158;47.9653;-4.6892;RWL-20;nan
13301;48.037;-4.6988;RWL-20;22.26
13444;48.1086;-4.7084;RWL-20;nan
13587;48.1803;-4.718;RWL-20;nan
13730;48.2519;-4.7277;RWL-20;nan
13873;48.3236;-4.7374;RWL-20;22.02
14016;48.3952;-4.7471;RWL-20;24.02
14159;48.4668;-4.7568;RWL-20;24.44
14302;48.5385;-4.7666;RWL-20;24.21
14445;48.6101;-4.7764;RWL-20;nan
14588;48.6817;-4.7862;RWL-20;nan
14731;48.7533;-4.796;RWL-20;nan
14874;48.8249;-4.8059;RWL-20;nan
15017;48.8965;-4.8158;RWL-20;nan
15160;48.9681;-4.8257;RWL-20;nan
15303;49.0397;-4.8357;RWL-20;nan
15446;49.1113;-4.8456;RWL-20;nan
15589;49.1829;-4.8557;RWL-20;nan
15732;49.2544;-4.8657;RWL-20;nan
15875;49.326;-4.8757;RWL-20;nan
16018;49.3976;-4.8858;RWL-20;nan
16161;49.4691;-4.896;RWL-20;nan
16304;49.5407;-4.9061;RWL-20;nan
16447;49.6122;-4.9163;RWL-20;nan
16590;49.6838;-4.9265;RWL-20;nan
16733;49.7553;-4.9367;RWL-20;nan
16876;49.8268;-4.947;RWL-20;nan
17019;49.8984;-4.9573;RWL-20;nan
17162;49.9699;-4.9676;RWL-20;nan
17305;50.0414;-4.9779;RWL-20;nan
17448;50.1129;-4.9883;RWL-20;nan
17591;50.1844;-4.9987;RWL-20;nan
17734;50.2559;-5.0092;RWL-20;nan
17877;50.3273;-5.0196;RWL-20;nan
18020;50.3988;-5.0301;RWL-20;nan
18163;50.4703;-5.0407;RWL-20;nan
18306;50.5417;-5.0512;RWL-20;nan
18449;50.6132;-5.0618;RWL-20;nan
18592;50.6846;-5.0724;RWL-20;nan
18735;50.756;-5.0831;RWL-20;nan
18878;50.8275;-5.0937;RWL-20;nan
19021;50.8989;-5.1044;RWL-20;nan
3;41.3786;-3.8122;RWL-20;nan
146;41.4501;-3.8196;RWL-20;nan
289;41.5216;-3.8271;RWL-20;nan
432;41.5931;-3.8346;RWL-20;nan
575;41.6647;-3.8421;RWL-20;nan
718;41.7362;-3.8496;RWL-20;nan
861;41.8077;-3.8572;RWL-20;nan
1004;41.8793;-3.8647;RWL-20;nan
1147;41.9509;-3.8723;RWL-20;nan
1290;42.0224;-3.8799;RWL-20;nan
1433;42.094;-3.8875;RWL-20;nan
1576;42.1656;-3.8951;RWL-20;nan
1719;42.2371;-3.9028;RWL-20;nan
1862;42.3087;-3.9105;RWL-20;nan
2005;42.3803;-3.9182;RWL-20;nan
2148;42.4519;-3.9259;RWL-20;nan
2291;42.5235;-3.9336;RWL-20;nan
2434;42.5951;-3.9414;RWL-20;nan
2577;42.6667;-3.9491;RWL-20;nan
2720;42.7383;-3.9569;RWL-20;nan
2863;42.81;-3.9647;RWL-20;nan
3006;42.8816;-3.9725;RWL-20;nan
3149;42.9532;-3.9804;RWL-20;nan
3292;43.0248;-3.9883;RWL-20;nan
3435;43.0965;-3.9961;RWL-20;nan
3578;43.1681;-4.004;RWL-20;nan
3721;43.2398;-4.012;RWL-20;nan
3864;43.3114;-4.0199;RWL-20;nan
4007;43.3831;-4.0279;RWL-20;nan
4150;43.4547;-4.0359;RWL-20;nan
4293;43.5264;-4.0439;RWL-20;nan
4436;43.5981;-4.0519;RWL-20;nan
4579;43.6697;-4.0599;RWL-20;nan
4722;43.7414;-4.068;RWL-20;nan
4865;43.8131;-4.0761;RWL-20;nan
5008;43.8847;-4.0842;RWL-20;nan
5151;43.9564;-4.0923;RWL-20;nan
5294;44.0281;-4.1004;RWL-20;nan
5437;44.0998;-4.1086;RWL-20;nan
5580;44.1715;-4.1168;RWL-20;nan
5723;44.2432;-4.125;RWL-20;nan
5866;44.3149;-4.1332;RWL-20;nan
6009;44.3865;-4.1415;RWL-20;nan
6152;44.4582;-4.1498;RWL-20;nan
6295;44.5299;-4.158;RWL-20;nan
6438;44.6016;-4.1664;RWL-20;nan
6581;44.6733;-4.1747;RWL-20;nan
6724;44.7451;-4.183;RWL-20;nan
6867;44.8168;-4.1914;RWL-20;nan
7010;44.8885;-4.1998;RWL-20;nan
7153;44.9602;-4.2082;RWL-20;nan
7296;45.0319;-4.2167;RWL-20;nan
7439;45.1036;-4.2251;RWL-20;nan
7582;45.1753;-4.2336;RWL-20;nan
7725;45.247;-4.2421;RWL-20;nan
7868;45.3187;-4.2507;RWL-20;nan
8011;45.3905;-4.2592;RWL-20;nan
8154;45.4622;-4.2678;RWL-20;nan
8297;45.5339;-4.2764;RWL-20;nan
8440;45.6056;-4.285;RWL-20;nan
8583;45.6773;-4.2936;RWL-20;nan
8726;45.749;-4.3023;RWL-20;nan
8869;45.8207;-4.311;RWL-20;nan
9012;45.8925;-4.3197;RWL-20;nan
9155;45.9642;-4.3284;RWL-20;nan
9298;46.0359;-4.3372;RWL-20;nan
9441;46.1076;-4.346;RWL-20;nan
9584;46.1793;-4.3548;RWL-20;nan
9727;46.251;-4.3636;RWL-20;nan
9870;46.3228;-4.3724;RWL-20;nan
10013;46.3945;-4.3813;RWL-20;nan
10156;46.4662;-4.3902;RWL-20;nan
10299;46.5379;-4.3991;RWL-20;nan
10442;46.6096;-4.4081;RWL-20;nan
10585;46.6813;-4.417;RWL-20;nan
10728;46.753;-4.426;RWL-20;nan
10871;46.8247;-4.435;RWL-20;nan
11014;46.8964;-4.4441;RWL-20;nan
11157;46.9681;-4.4531;RWL-20;nan
11300;47.0398;-4.4622;RWL-20;nan
11443;47.1115;-4.4713;RWL-20;nan
11586;47.1832;-4.4804;RWL-20;nan
11729;47.2549;-4.4896;RWL-20;nan
11872;47.3266;-4.4988;RWL-20;nan
12015;47.3983;-4.508;RWL-20;nan
12158;47.47;-4.5172;RWL-20;nan
12301;47.5417;-4.5265;RWL-20;nan
12444;47.6134;-4.5357;RWL-20;nan
12587;47.685;-4.5451;RWL-20;nan
12730;47.7567;-4.5544;RWL-20;nan
12873;47.8284;-4.5637;RWL-20;nan
13016;47.9;-4.5731;RWL-20;nan
13159;47.9717;-4.5825;RWL-20;22.14
13302;48.0434;-4.592;RWL-20;22.6
13445;48.115;-4.6014;RWL-20;nan
13588;48.1867;-4.6109;RWL-20;nan
13731;48.2583;-4.6204;RWL-20;22.07
13874;48.33;-4.6299;RWL-20;22.12
14017;48.4016;-4.6395;RWL-20;26.99
14160;48.4733;-4.6491;RWL-20;24.24
14303;48.5449;-4.6587;RWL-20;23.96
14446;48.6165;-4.6684;RWL-20;nan
14589;48.6882;-4.678;RWL-20;nan
14732;48.7598;-4.6877;RWL-20;nan
14875;48.8314;-4.6974;RWL-20;nan
15018;48.903;-4.7072;RWL-20;nan
15161;48.9746;-4.717;RWL-20;nan
15304;49.0462;-4.7268;RWL-20;nan
15447;49.1178;-4.7366;RWL-20;nan
15590;49.1894;-4.7464;RWL-20;nan
15733;49.261;-4.7563;RWL-20;nan
15876;49.3326;-4.7662;RWL-20;nan
16019;49.4041;-4.7762;RWL-20;nan
16162;49.4757;-4.7861;RWL-20;nan
16305;49.5473;-4.7961;RWL-20;nan
16448;49.6188;-4.8062;RWL-20;nan
16591;49.6904;-4.8162;RWL-20;nan
16734;49.7619;-4.8263;RWL-20;nan
16877;49.8334;-4.8364;RWL-20;nan
17020;49.905;-4.8465;RWL-20;nan
17163;49.9765;-4.8567;RWL-20;nan
17306;50.048;-4.8669;RWL-20;nan
17449;50.1195;-4.8771;RWL-20;nan
17592;50.191;-4.8874;RWL-20;nan
17735;50.2625;-4.8977;RWL-20;nan
17878;50.334;-4.908;RWL-20;nan
18021;50.4055;-4.9183;RWL-20;nan
18164;50.4769;-4.9287;RWL-20;nan
18307;50.5484;-4.9391;RWL-20;nan
18450;50.6199;-4.9495;RWL-20;nan
18593;50.6913;-4.96;RWL-20;nan
18736;50.7628;-4.9704;RWL-20;nan
18879;50.8342;-4.981;RWL-20;nan
19022;50.9056;-4.9915;RWL-20;nan
4;41.3841;-3.7172;RWL-20;nan
147;41.4557;-3.7246;RWL-20;nan
290;41.5272;-3.7319;RWL-20;nan
433;41.5987;-3.7393;RWL-20;nan
576;41.6703;-3.7467;RWL-20;nan
719;41.7418;-3.7541;RWL-20;nan
862;41.8134;-3.7615;RWL-20;nan
1005;41.8849;-3.769;RWL-20;nan
1148;41.9565;-3.7764;RWL-20;nan
1291;42.028;-3.7839;RWL-20;nan
1434;42.0996;-3.7914;RWL-20;nan
1577;42.1712;-3.7989;RWL-20;nan
1720;42.2428;-3.8065;RWL-20;nan
1863;42.3144;-3.814;RWL-20;nan
2006;42.386;-3.8216;RWL-20;nan
2149;42.4576;-3.8292;RWL-20;nan
2292;42.5292;-3.8368;RWL-20;nan
2435;42.6008;-3.8444;RWL-20;nan
2578;42.6724;-3.8521;RWL-20;nan
2721;42.744;-3.8597;RWL-20;nan
2864;42.8157;-3.8674;RWL-20;nan
3007;42.8873;-3.8751;RWL-20;nan
