
#-----------------------------------------------------------------------------
# Date d'extraction : 09/05/2025
#-----------------------------------------------------------------------------
# Producteur : MF-DCSC
# Experience : TRACC-2023
# Modele     : MEAN de l’ensemble EXPLORE2  / ADAMONT / RCP8.5
# Historique : 1976-2005
#-----------------------------------------------------------------------------
# Indices : 
#    RRq99 : Valeur du 99e centile des précipitations quotidiennes
#     Moyenne temporelle
#     Valeur absolue
#-----------------------------------------------------------------------------
# Format des enregistrements 
# Point;Latitude;Longitude;RWL;RRq99;
#-----------------------------------------------------------------------------                     

Point;Latitude;Longitude;RWL;Value
290;41.5272;-3.7319;REF;nan
433;41.5987;-3.7393;REF;nan
576;41.6703;-3.7467;REF;nan
719;41.7418;-3.7541;REF;nan
862;41.8134;-3.7615;REF;nan
1005;41.8849;-3.769;REF;nan
1148;41.9565;-3.7764;REF;nan
1291;42.028;-3.7839;REF;nan
1434;42.0996;-3.7914;REF;nan
1577;42.1712;-3.7989;REF;nan
1720;42.2428;-3.8065;REF;nan
1863;42.3144;-3.814;REF;nan
2006;42.386;-3.8216;REF;nan
2149;42.4576;-3.8292;REF;nan
2292;42.5292;-3.8368;REF;nan
2435;42.6008;-3.8444;REF;nan
2578;42.6724;-3.8521;REF;nan
2721;42.744;-3.8597;REF;nan
2864;42.8157;-3.8674;REF;nan
3007;42.8873;-3.8751;REF;nan
3150;42.9589;-3.8829;REF;nan
3293;43.0306;-3.8906;REF;nan
3436;43.1022;-3.8984;REF;nan
3579;43.1739;-3.9062;REF;nan
3722;43.2455;-3.914;REF;nan
3865;43.3172;-3.9218;REF;nan
4008;43.3888;-3.9296;REF;nan
4151;43.4605;-3.9375;REF;nan
4294;43.5322;-3.9454;REF;nan
4437;43.6038;-3.9533;REF;nan
4580;43.6755;-3.9612;REF;nan
4723;43.7472;-3.9691;REF;nan
4866;43.8189;-3.9771;REF;nan
5009;43.8906;-3.9851;REF;nan
5152;43.9622;-3.9931;REF;nan
5295;44.0339;-4.0011;REF;nan
5438;44.1056;-4.0091;REF;nan
5581;44.1773;-4.0172;REF;nan
5724;44.249;-4.0253;REF;nan
5867;44.3207;-4.0334;REF;nan
6010;44.3924;-4.0415;REF;nan
6153;44.4641;-4.0496;REF;nan
6296;44.5358;-4.0578;REF;nan
6439;44.6075;-4.066;REF;nan
6582;44.6793;-4.0742;REF;nan
6725;44.751;-4.0824;REF;nan
6868;44.8227;-4.0907;REF;nan
7011;44.8944;-4.0989;REF;nan
7154;44.9661;-4.1072;REF;nan
7297;45.0378;-4.1155;REF;nan
7440;45.1096;-4.1239;REF;nan
7583;45.1813;-4.1322;REF;nan
7726;45.253;-4.1406;REF;nan
7869;45.3247;-4.149;REF;nan
8012;45.3964;-4.1574;REF;nan
8155;45.4682;-4.1659;REF;nan
8298;45.5399;-4.1743;REF;nan
8441;45.6116;-4.1828;REF;nan
8584;45.6833;-4.1913;REF;nan
8727;45.7551;-4.1999;REF;nan
8870;45.8268;-4.2084;REF;nan
9013;45.8985;-4.217;REF;nan
9156;45.9702;-4.2256;REF;nan
9299;46.042;-4.2342;REF;nan
9442;46.1137;-4.2428;REF;nan
9585;46.1854;-4.2515;REF;nan
9728;46.2571;-4.2602;REF;nan
9871;46.3288;-4.2689;REF;nan
10014;46.4006;-4.2776;REF;nan
10157;46.4723;-4.2864;REF;nan
10300;46.544;-4.2952;REF;nan
10443;46.6157;-4.304;REF;nan
10586;46.6874;-4.3128;REF;nan
10729;46.7592;-4.3217;REF;nan
10872;46.8309;-4.3305;REF;nan
11015;46.9026;-4.3394;REF;nan
11158;46.9743;-4.3484;REF;nan
11301;47.046;-4.3573;REF;nan
11444;47.1177;-4.3663;REF;nan
11587;47.1894;-4.3753;REF;nan
11730;47.2611;-4.3843;REF;nan
11873;47.3328;-4.3933;REF;nan
12016;47.4045;-4.4024;REF;nan
12159;47.4762;-4.4115;REF;nan
12302;47.5479;-4.4206;REF;nan
12445;47.6196;-4.4297;REF;nan
12588;47.6913;-4.4389;REF;nan
12731;47.763;-4.4481;REF;nan
12874;47.8346;-4.4573;REF;nan
13017;47.9063;-4.4665;REF;nan
13160;47.978;-4.4758;REF;19.27
13303;48.0497;-4.4851;REF;19.6
13446;48.1213;-4.4944;REF;nan
13589;48.193;-4.5037;REF;19.38
13732;48.2646;-4.5131;REF;19.53
13875;48.3363;-4.5225;REF;19.45
14018;48.408;-4.5319;REF;24.25
14161;48.4796;-4.5414;REF;24.43
14304;48.5512;-4.5508;REF;21.66
14447;48.6229;-4.5603;REF;21.31
14590;48.6945;-4.5698;REF;nan
14733;48.7661;-4.5794;REF;nan
14876;48.8378;-4.589;REF;nan
15019;48.9094;-4.5986;REF;nan
15162;48.981;-4.6082;REF;nan
15305;49.0526;-4.6178;REF;nan
15448;49.1242;-4.6275;REF;nan
15591;49.1958;-4.6372;REF;nan
15734;49.2674;-4.6469;REF;nan
15877;49.339;-4.6567;REF;nan
